1,??????,11,???????,1111001100,?????? ???????,"? 11,490,000.00","? 8,143,596.64",0,"?-3,346,403.36"
1,??????,11,???????,1111999999,?????? ?????,"? 3,000.00","? 1,498.29",0,"?-1,501.71"
1,??????,11,???????,1112001101,?????? ?????? ????? ?????,"? 3,420,000.00","? 2,011,678.21",0,"?-1,408,321.79"
1,??????,11,???????,1113001110,????? ??????,"? 500,000.00","?-391,315.30",0,"?-891,315.30"
,,,"??????? ??""?",,,"? 15,413,000.00","? 9,765,457.84",0,"?-5,647,542.16"
1,??????,12,?????,1129000420,??? ??????? ?????,"? 30,000.00","? 11,300.00",0,"?-18,700.00"
,,,"????? ??""?",,,"? 30,000.00","? 11,300.00",0,"?-18,700.00"
1,??????,21,??????,1212400220,???? ????? ????,"? 12,000.00","? 4,517.80",0,"?-7,482.20"
1,??????,21,??????,1212400620,????? ???? ?????-?????,? 0.00,? 0.00,0,? 0.00
1,??????,21,??????,1214200220,???? ?????? ?????,"? 15,000.00","? 4,027.80",0,"?-10,972.20"
1,??????,21,??????,1214300220,???? ?????? ?????,"? 35,000.00",? 800.00,0,"?-34,200.00"
1,??????,21,??????,1214400220,???? ????? ???????,"? 6,000.00",? 0.00,0,"?-6,000.00"
1,??????,21,??????,1214500220,???? ???? ???????,"? 46,000.00",? 0.00,0,"?-46,000.00"
,,,"?????? ??""?",,,"? 114,000.00","? 9,345.60",0,"?-104,654.40"
1,??????,22,????? ??????,1220000220,???? ?????,"? 52,000.00","? 40,986.10",0,"?-11,013.90"
1,??????,22,????? ??????,1222000290,????? ?????,"? 25,000.00","? 5,443.47",0,"?-19,556.53"
1,??????,22,????? ??????,1222000420,????? ?????,"? 430,000.00","? 344,669.26",0,"?-85,330.74"
1,??????,22,????? ??????,1222000994,???????? ????? ??????,"? 80,000.00",? 0.00,0,"?-80,000.00"
1,??????,22,????? ??????,1226000910,????.  ???? ?????,"? 30,000.00",? 0.00,0,"?-30,000.00"
,,,"????? ?????? ??""?",,,"? 617,000.00","? 391,098.83",0,"?-225,901.17"
1,??????,23,????? ????? ???,1233100290,???? ????? ????,"? 120,000.00","? 24,607.00",0,"?-95,393.00"
,,,"????? ????? ??? ??""?",,,"? 120,000.00","? 24,607.00",0,"?-95,393.00"
1,??????,24,????? ???????,1244400991,????? ?????-???? ?.??????,"? 90,000.00",? 0.00,0,"?-90,000.00"
,,,"????? ??????? ??""?",,,"? 90,000.00",? 0.00,0,"?-90,000.00"
1,??????,26,??????? ???????? ?????,1269000420,?????? ?????,"? 50,000.00","? 6,494.60",0,"?-43,505.40"
,,,"??????? ???????? ????? ??""?",,,"? 50,000.00","? 6,494.60",0,"?-43,505.40"
1,??????,28,????? ??????,1281000420,????? ?????? ?????,"? 16,000.00",? 86.60,0,"?-15,913.40"
